,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21589,Auto Theft,-Ju,N,H,3121645.0,10056710.0,2016.0
21590,Theft,-Ju,C,A,3126178.0,10126523.0,2016.0
21591,Theft,-Ju,N,B,3111454.0,10089903.0,2016.0
21592,Theft,-Ju,N,D,3096165.0,10072060.0,2016.0
21593,Theft,-Ju,N,I,3134205.0,10083490.0,2016.0
21594,Burglary,-Ju,N,I,3125366.0,10094847.0,2016.0
21595,Burglary,-Ju,N,E,3124668.0,10101307.0,2016.0
21596,Burglary,-Ju,N,F,3117182.0,10045326.0,2016.0
21597,Agg Assault,-Ju,N,C,3143028.0,10083917.0,2016.0
21598,Burglary,-Ju,N,H,3127179.0,10056845.0,2016.0
21599,Burglary,-Ju,N,I,3119750.0,10106671.0,2016.0
21600,Theft,-Ju,C,D,3094135.0,10066586.0,2016.0
21601,Auto Theft,-Ju,N,B,3119190.0,10079092.0,2016.0
21602,Auto Theft,-Ju,N,F,3093440.0,10045097.0,2016.0
21603,Theft,-Ju,C,E,3137594.0,10134827.0,2016.0
21604,Theft,-Ju,C,E,3135499.0,10121165.0,2016.0
21605,Burglary,-Ju,O,D,3080216.0,10048752.0,2016.0
21608,Robbery,-Ju,N,F,3103285.0,10043922.0,2016.0
21609,Burglary,-Ju,N,A,3082257.0,10130726.0,2016.0
21610,Burglary,-Ju,N,H,3122229.0,10059265.0,2016.0
21611,Theft,-Ju,C,G,3116612.0,10070581.0,2016.0
21612,Theft,-Ju,C,G,3115840.0,10070419.0,2016.0
21613,Theft,-Ju,N,E,3121998.0,10105916.0,2016.0
21614,Theft,-Ju,N,F,3097469.0,10037836.0,2016.0
21616,Theft,-Ju,N,D,3096465.0,10057952.0,2016.0
21617,Theft,-Ju,N,I,3115039.0,10097049.0,2016.0
21618,Theft,-Ju,N,E,3141933.0,10112339.0,2016.0
21619,Theft,-Ju,N,B,3114630.0,10085825.0,2016.0
21620,Theft,-Ju,N,C,3123916.0,10065493.0,2016.0
21621,Theft,-Ju,N,E,3129362.0,10101733.0,2016.0
21622,Theft,-Ju,N,B,3119190.0,10079092.0,2016.0
21623,Theft,-Ju,N,I,3134700.0,10083222.0,2016.0
21624,Theft,-Ju,N,I,3119549.0,10101599.0,2016.0
21625,Theft,-Ju,N,A,3091378.0,10135540.0,2016.0
21626,Theft,-Ju,N,C,3130548.0,10065003.0,2016.0
21627,Theft,-Ju,N,D,3106561.0,10051092.0,2016.0
21628,Theft,-Ju,N,F,3111777.0,10046072.0,2016.0
21629,Theft,-Ju,N,E,3136347.0,10113311.0,2016.0
21630,Theft,-Ju,N,F,3117610.0,10043124.0,2016.0
21632,Theft,-Ju,N,D,3105568.0,10062376.0,2016.0
21633,Theft,-Ju,N,D,3076015.0,10052150.0,2016.0
21634,Theft,-Ju,N,I,3126309.0,10089393.0,2016.0
21635,Theft,-Ju,N,C,3132080.0,10072329.0,2016.0
21636,Theft,-Ju,N,E,3142326.0,10112910.0,2016.0
21637,Theft,-Ju,N,H,3114134.0,10053551.0,2016.0
21638,Theft,-Ju,N,E,3141598.0,10111856.0,2016.0
21639,Theft,-Ju,N,F,3100427.0,10040832.0,2016.0
21640,Theft,-Ju,N,I,3131763.0,10092572.0,2016.0
21641,Theft,-Ju,N,E,3130614.0,10111687.0,2016.0
21642,Theft,-Ju,N,E,3119898.0,10108605.0,2016.0
21643,Theft,-Ju,N,F,3118600.0,10043108.0,2016.0
21644,Theft,-Ju,N,E,3133940.0,10101616.0,2016.0
21645,Theft,-Ju,N,B,3125529.0,10084504.0,2016.0
21646,Theft,-Ju,N,F,3118600.0,10043108.0,2016.0
21647,Theft,-Ju,N,E,3127461.0,10105644.0,2016.0
21648,Agg Assault,-Ju,N,E,3132060.0,10103060.0,2016.0
21649,Theft,-Ju,N,F,3099791.0,10033812.0,2016.0
21650,Theft,-Ju,N,E,3128277.0,10110736.0,2016.0
21652,Theft,-Ju,N,F,3114777.0,10045687.0,2016.0
21653,Theft,-Ju,N,C,3123455.0,10073489.0,2016.0
21654,Theft,-Ju,N,H,3151438.0,10037840.0,2016.0
21655,Theft,-Ju,N,F,3097155.0,10035748.0,2016.0
21656,Theft,-Ju,N,H,3117763.0,10056344.0,2016.0
21657,Theft,-Ju,N,I,3126878.0,10092289.0,2016.0
21658,Theft,-Ju,N,I,3133583.0,10093430.0,2016.0
21659,Theft,-Ju,N,B,3114269.0,10077111.0,2016.0
21660,Theft,-Ju,N,I,3137780.0,10088329.0,2016.0
21661,Theft,-Ju,N,E,3141599.0,10117562.0,2016.0
21662,Theft,-Ju,N,A,3085970.0,10131014.0,2016.0
21663,Theft,-Ju,N,D,3099795.0,10059834.0,2016.0
21664,Theft,-Ju,N,D,3094135.0,10066586.0,2016.0
21665,Theft,-Ju,N,C,3134006.0,10071233.0,2016.0
21666,Theft,-Ju,N,I,3125145.0,10096059.0,2016.0
21668,Burglary,-Ju,C,F,3117126.0,10034178.0,2016.0
21669,Agg Assault,-Ju,C,B,3126087.0,10078167.0,2016.0
21670,Burglary,-Ju,N,B,3110228.0,10074568.0,2016.0
21671,Theft,-Ju,N,G,3114309.0,10070753.0,2016.0
21672,Agg Assault,-Ju,N,F,3120547.0,10051153.0,2016.0
21673,Auto Theft,-Ju,C,F,3086053.0,10036581.0,2016.0
21674,Theft,-Ju,N,D,3102636.0,10050409.0,2016.0
21675,Robbery,-Ju,N,G,3116222.0,10065572.0,2016.0
21676,Theft,-Ju,C,H,3118842.0,10061285.0,2016.0
21677,Theft,-Ju,N,F,3118415.0,10044947.0,2016.0
21679,Theft,-Ju,N,E,3141598.0,10111856.0,2016.0
21680,Theft,-Ju,N,F,3116475.0,10049694.0,2016.0
21681,Burglary,-Ju,N,I,3120280.0,10108238.0,2016.0
21682,Agg Assault,-Ju,C,H,3119293.0,10056363.0,2016.0
21683,Burglary,-Ju,N,B,3113033.0,10078939.0,2016.0
21684,Burglary,-Ju,N,A,3127006.0,10122447.0,2016.0
21685,Theft,-Ju,C,E,3134231.0,10124160.0,2016.0
21687,Theft,-Ju,N,D,3084354.0,10057869.0,2016.0
21688,Burglary,-Ju,N,F,3113196.0,10040655.0,2016.0
21689,Burglary,-Ju,N,H,3117897.0,10063203.0,2016.0
21690,Theft,-Ju,C,I,3135622.0,10086213.0,2016.0
21692,Burglary,-Ju,N,C,3122443.0,10079496.0,2016.0
21693,Theft,-Ju,C,A,3112026.0,10118168.0,2016.0
21694,Theft,-Ju,N,D,3108051.0,10046007.0,2016.0
21695,Theft,-Ju,N,H,3139402.0,10055060.0,2016.0
21696,Theft,-Ju,C,B,3127952.0,10083340.0,2016.0
21697,Burglary,-Ju,N,E,3127010.0,10102311.0,2016.0
21698,Theft,-Ju,C,E,3135406.0,10125987.0,2016.0
21699,Theft,-Ju,C,I,3129996.0,10096983.0,2016.0
21700,Theft,-Ju,N,E,3125782.0,10107636.0,2016.0
21701,Burglary,-Ju,N,E,3127127.0,10102838.0,2016.0
21702,Burglary,-Ju,N,H,3122188.0,10058144.0,2016.0
21703,Theft,-Ju,N,F,3100552.0,10031246.0,2016.0
21704,Theft,-Ju,N,I,3129996.0,10096983.0,2016.0
21705,Theft,-Ju,N,H,3122229.0,10059265.0,2016.0
21706,Theft,-Ju,C,D,3098607.0,10057646.0,2016.0
21707,Theft,-Ju,C,B,3108474.0,10102850.0,2016.0
21708,Theft,-Ju,N,E,3120422.0,10108394.0,2016.0
21709,Theft,-Ju,C,D,3110718.0,10052849.0,2016.0
21711,Theft,-Ju,C,B,3127952.0,10083340.0,2016.0
21712,Theft,-Ju,C,C,3145187.0,10075705.0,2016.0
21713,Theft,-Ju,N,H,3118312.0,10062689.0,2016.0
21714,Theft,-Ju,C,D,3094135.0,10066586.0,2016.0
21715,Burglary,-Ju,C,H,3118384.0,10058988.0,2016.0
21716,Burglary,-Ju,N,B,3110277.0,10074674.0,2016.0
21717,Theft,-Ju,C,I,3129996.0,10096983.0,2016.0
21718,Theft,-Ju,N,F,3114292.0,10043314.0,2016.0
21719,Burglary,-Ju,N,E,3123313.0,10104466.0,2016.0
21720,Theft,-Ju,N,F,3103350.0,10043107.0,2016.0
21721,Theft,-Ju,N,I,3125467.0,10088596.0,2016.0
21722,Theft,-Ju,C,E,3135873.0,10127479.0,2016.0
21723,Theft,-Ju,N,AP,3139493.0,10047780.0,2016.0
21724,Theft,-Ju,C,B,3114449.0,10077690.0,2016.0
21725,Agg Assault,-Ju,C,C,3133489.0,10071029.0,2016.0
21726,Theft,-Ju,N,B,3114295.0,10094831.0,2016.0
21727,Theft,-Ju,N,B,3117100.0,10073351.0,2016.0
21728,Theft,-Ju,N,D,3100935.0,10051607.0,2016.0
21729,Theft,-Ju,N,D,3107625.0,10066461.0,2016.0
21730,Theft,-Ju,N,B,3114482.0,10080909.0,2016.0
