,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
22032,Agg Assault,-Ju,N,I,3131316.0,10090270.0,2015.0
22033,Theft,-Ju,N,A,3112153.0,10120287.0,2015.0
22034,Theft,-Ju,C,F,3100423.0,10033116.0,2015.0
22035,Theft,-Ju,C,D,3089372.0,10057773.0,2015.0
22036,Theft,-Ju,C,B,3114296.0,10094831.0,2015.0
22037,Theft,-Ju,N,A,3092524.0,10143916.0,2015.0
22038,Theft,-Ju,C,H,3120959.0,10059177.0,2015.0
22039,Theft,-Ju,C,F,3101080.0,10033049.0,2015.0
22040,Theft,-Ju,N,B,3116494.0,10102601.0,2015.0
22041,Theft,-Ju,C,G,3110741.0,10071581.0,2015.0
22042,Theft,-Ju,N,I,3121106.0,10106465.0,2015.0
22043,Theft,-Ju,N,F,3089847.0,10036827.0,2015.0
22044,Theft,-Ju,N,F,3097265.0,10030094.0,2015.0
22045,Theft,-Ju,N,A,3120773.0,10121559.0,2015.0
